Title,Year,Duration,Ratting,link,,,,,,,,,,
Children of Heaven ,1997,1h 29min,8.3,https://www.imdb.com/title/tt0118849/,,,,,,,,,,
Lagaan: Once Upon a Time in India ,2001,3h 44min,8.1,https://www.imdb.com/title/tt0169102/,,,,,,,,,,
The Sixth Sense ,1999,1h 47min,8.1,https://www.imdb.com/title/tt0167404/,,,,,,,,,,
Catch Me If You Can ,2002,2h 21min,8.1,https://www.imdb.com/title/tt0264464/,,,,,,,,,,
Memories of Murder ,2003,2h 12min,8.1,https://www.imdb.com/title/tt0353969/,,,,,,,,,,
PK ,2014,2h 33min,8.1,https://www.imdb.com/title/tt2338151/,,,,,,,,,,
Neon Genesis Evangelion: The End of Evangelion ,1997,1h 27min,8.1,https://www.imdb.com/title/tt0169858/,,,,,,,,,,
Amores Perros ,2000,2h 34min,8.1,https://www.imdb.com/title/tt0245712/,,,,,,,,,,
The Truman Show ,1998,1h 43min,8.1,https://www.imdb.com/title/tt0120382/,,,,,,,,,,
Million Dollar Baby ,2004,2h 12min,8.1,https://www.imdb.com/title/tt0405159/,,,,,,,,,,
Hotel Rwanda ,2004,2h 1min,8.1,https://www.imdb.com/title/tt0395169/,,,,,,,,,,
Into the Wild ,2007,2h 28min,8.1,https://www.imdb.com/title/tt0758758/,,,,,,,,,,
No Country for Old Men ,2007,2h 2min,8.1,https://www.imdb.com/title/tt0477348/,,,,,,,,,,
Hachi: A Dog's Tale ,2009,1h 33min,8.1,https://www.imdb.com/title/tt1028532/,,,,,,,,,,
Gran Torino ,2008,1h 56min,8.1,https://www.imdb.com/title/tt1205489/,,,,,,,,,,
Mary and Max ,2009,1h 32min,8.1,https://www.imdb.com/title/tt0978762/,,,,,,,,,,
Before Sunset ,2004,1h 20min,8,https://www.imdb.com/title/tt0381681/,,,,,,,,,,
The Passion of Joan of Arc ,1928,1h 54min,8.1,https://www.imdb.com/title/tt0019254/,,,,,,,,,,
The General ,1926,1h 7min,8.1,https://www.imdb.com/title/tt0017925/,,,,,,,,,,
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,8.1,https://www.imdb.com/title/tt1201607/,,,,,,,,,,
Mr. Smith Goes to Washington ,1939,2h 9min,8.1,https://www.imdb.com/title/tt0031679/,,,,,,,,,,
On the Waterfront ,1954,1h 48min,8.1,https://www.imdb.com/title/tt0047296/,,,,,,,,,,
The Bridge on the River Kwai ,1957,2h 41min,8.1,https://www.imdb.com/title/tt0050212/,,,,,,,,,,
Gone with the Wind ,1939,3h 58min,8.1,https://www.imdb.com/title/tt0031381/,,,,,,,,,,
Rebecca ,1940,2h 10min,8.1,https://www.imdb.com/title/tt0032976/,,,,,,,,,,
Ben-Hur ,1959,3h 32min,8.1,https://www.imdb.com/title/tt0052618/,,,,,,,,,,
The 400 Blows ,1959,1h 39min,8.1,https://www.imdb.com/title/tt0053198/,,,,,,,,,,
Persona ,1966,1h 23min,8.1,https://www.imdb.com/title/tt0060827/,,,,,,,,,,
Cool Hand Luke ,1967,2h 7min,8.1,https://www.imdb.com/title/tt0061512/,,,,,,,,,,
Andrei Rublev ,1966,3h 25min,8.1,https://www.imdb.com/title/tt0060107/,,,,,,,,,,
The Wages of Fear ,1953,2h 11min,8.1,https://www.imdb.com/title/tt0046268/,,,,,,,,,,
Network ,1976,2h 1min,8.1,https://www.imdb.com/title/tt0074958/,,,,,,,,,,
Barry Lyndon ,1975,3h 5min,8.1,https://www.imdb.com/title/tt0072684/,,,,,,,,,,
The Deer Hunter ,1978,3h 3min,8.1,https://www.imdb.com/title/tt0077416/,,,,,,,,,,
Rocky ,1976,2h,8.1,https://www.imdb.com/title/tt0075148/,,,,,,,,,,
Fanny and Alexander ,1982,3h 8min,8.1,https://www.imdb.com/title/tt0083922/,,,,,,,,,,
The Elephant Man ,1980,2h 4min,8.1,https://www.imdb.com/title/tt0080678/,,,,,,,,,,
Stand by Me ,1986,1h 29min,8.1,https://www.imdb.com/title/tt0092005/,,,,,,,,,,
In the Name of the Father ,1993,2h 13min,8.1,https://www.imdb.com/title/tt0107207/,,,,,,,,,,
"Paris, Texas ",1984,2h 25min,8.1,https://www.imdb.com/title/tt0087884/,,,,,,,,,,
